"Variable","Noise","beta_S","beta_P","mean","error"
"Error",0.5,10,2,0.1563,0.00363157676980447
"Error",0.5,10,2.5,0.142,0.00349067593480807
"Error",0.5,10,3,0.1331,0.00339699763898887
"Error",0.5,10,3.5,0.1186,0.00323333410660644
"Error",0.5,10,4,0.1111,0.0031427164470672
"Error",0.5,10,4.5,0.1055,0.00307211959270455
"Error",0.5,10,5,0.098,0.00297329514989764
"Error",0.5,10,5.5,0.0937,0.00291425467110011
"Error",0.5,10,6,0.0813,0.0027330894566036
"Error",0.5,10,6.5,0.0763,0.00265490788043302
"Error",0.5,10,7,0.0731,0.00260313592262547
"Error",0.5,10,7.5,0.0699,0.00254991160727593
"Error",0.5,10,8,0.0623,0.00241711713525111
"Error",0.5,10,8.5,0.0678,0.00251414957685685
"Error",0.5,10,9,0.0588,0.00235261758068499
"Error",0.5,10,9.5,0.0555,0.00228965046457423
"Error",0.5,10,10,0.0606,0.00238607068908977
"Error",1,1,1,0.3647,0.00481370004994257
"Error",1,1,1.5,0.3483,0.0047645546589487
"Error",1,1,2,0.3265,0.00468956012835103
"Error",1,1,2.5,0.3194,0.00466267498908142
"Error",1,1,3,0.294,0.00455614703972389
"Error",1,1,3.5,0.337,0.00472708520480151
"Error",1,1,4,0.319,0.00466112353486375
"Error",1,1,4.5,0.3293,0.00469982551122737
"Error",1,1,5,0.3494,0.00476804335380273
"Error",1,1,5.5,0.2911,0.00454292227693601
"Error",1,1,6,0.5293,0.00499165730637295
"Error",1,1,6.5,0.4162,0.00492952188539638
"Error",1,1,7,0.5357,0.00498748819586076
"Error",1,1,7.5,0.4763,0.0049946296792218
"Error",1,1,8,0.4315,0.00495310289847004
"Error",1,1,8.5,0.4503,0.00497548656381008
"Error",1,1,9,0.4215,0.00493823993153048
"Error",1,1,9.5,0.4952,0.00500001960192177
"Error",1,1,10,0.4533,0.00497839225442752
"Error",1,1.5,1,0.3315,0.0047077586279598
"Error",1,1.5,1.5,0.3034,0.00459749471949339
"Error",1,1.5,2,0.2945,0.00455840464475133
"Error",1,1.5,2.5,0.2916,0.00454521835569977
"Error",1,1.5,3,0.2524,0.00434411223739824
"Error",1,1.5,3.5,0.2642,0.00440928340867513
"Error",1,1.5,4,0.3031,0.00459621056035856
"Error",1,1.5,4.5,0.3192,0.00466189975556458
"Error",1,1.5,5,0.3348,0.00471944099574634
"Error",1,1.5,5.5,0.3275,0.00469324809250116
"Error",1,1.5,6,0.3581,0.00479465722171954
"Error",1,1.5,6.5,0.3508,0.0047724431501446
"Error",1,1.5,7,0.3861,0.00486878316470866
"Error",1,1.5,7.5,0.4919,0.00499959384288958
"Error",1,1.5,8,0.4045,0.00490819559903676
"Error",1,1.5,8.5,0.4273,0.00494711212646724
"Error",1,1.5,9,0.5074,0.00499970236137815
"Error",1,1.5,9.5,0.518,0.00499700880624609
"Error",1,1.5,10,0.4403,0.00496447938917673
"Error",1,2,1,0.3224,0.00467418536227224
"Error",1,2,1.5,0.2936,0.00455433619727615
"Error",1,2,2,0.2875,0.00452619306286909
"Error",1,2,2.5,0.25,0.00433034354151247
"Error",1,2,3,0.252,0.00434182970054272
"Error",1,2,3.5,0.2389,0.0042643284875517
"Error",1,2,4,0.2271,0.00418978691957516
"Error",1,2,4.5,0.2457,0.00430522990099832
"Error",1,2,5,0.2486,0.00432222999934255
"Error",1,2,5.5,0.2263,0.00418456473939714
"Error",1,2,6,0.2596,0.00438437068125256
"Error",1,2,6.5,0.311,0.00462925944447926
"Error",1,2,7,0.3585,0.00479583934337888
"Error",1,2,7.5,0.3524,0.00477741628609409
"Error",1,2,8,0.4401,0.00496423844777189
"Error",1,2,8.5,0.4361,0.00495924776693415
"Error",1,2,9,0.4416,0.00496602558803457
"Error",1,2,9.5,0.4263,0.00494563210597925
"Error",1,2,10,0.4061,0.00491128201889353
"Error",1,2.5,1,0.3107,0.0046280333695088
"Error",1,2.5,1.5,0.3005,0.00458498388303828
"Error",1,2.5,2,0.2624,0.00439960903444449
"Error",1,2.5,2.5,0.2541,0.00435375866596348
"Error",1,2.5,3,0.2465,0.00430994577265844
"Error",1,2.5,3.5,0.2399,0.00427043588668256
