"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.01,5.5,2.5,0.0347,0.00183028030437943
"Error",0,0.01,5.5,3,0.0307,0.00172512277964801
"Error",0,0.01,5.5,3.5,0.0309,0.001730554385695
"Error",0,0.01,5.5,4,0.0295,0.00169211740908621
"Error",0,0.01,5.5,4.5,0.0368,0.00188279858005292
"Error",0,0.01,5.5,5,0.0373,0.00189505412139398
"Error",0,0.01,5.5,5.5,0.0623,0.00241711713525111
"Error",0,0.01,5.5,6,0.1215,0.00326723774529011
"Error",0,0.01,5.5,6.5,0.1346,0.00341312890833242
"Error",0,0.01,5.5,7,0.1621,0.00368560949799856
"Error",0,0.01,5.5,7.5,0.2611,0.00439256285792771
"Error",0,0.01,5.5,8,0.2415,0.00428014099775884
"Error",0,0.01,5.5,8.5,0.3176,0.00465566230725038
"Error",0,0.01,5.5,9,0.3491,0.00476709466228141
"Error",0,0.01,5.5,9.5,0.3635,0.00481031068735595
"Error",0,0.01,5.5,10,0.4553,0.00498022803364733
"Error",0,0.01,6,1,0.0677,0.00251242954731531
"Error",0,0.01,6,1.5,0.047,0.0021164942605156
"Error",0,0.01,6,2,0.0397,0.00195263214078528
"Error",0,0.01,6,2.5,0.0257,0.00158246687805528
"Error",0,0.01,6,3,0.0276,0.00163831999598397
"Error",0,0.01,6,3.5,0.0252,0.00156739965361978
"Error",0,0.01,6,4,0.0249,0.00155828168961277
"Error",0,0.01,6,4.5,0.0284,0.00166121039064779
"Error",0,0.01,6,5,0.0281,0.00165266818545439
"Error",0,0.01,6,5.5,0.0544,0.00226816632058714
"Error",0,0.01,6,6,0.0562,0.00230319049768943
"Error",0,0.01,6,6.5,0.0887,0.00284324452060325
"Error",0,0.01,6,7,0.1514,0.00358456258264393
"Error",0,0.01,6,7.5,0.1804,0.00384539500003194
"Error",0,0.01,6,8,0.2013,0.00400991757320452
"Error",0,0.01,6,8.5,0.2648,0.00441248716760745
"Error",0,0.01,6,9,0.3452,0.004754572177984
"Error",0,0.01,6,9.5,0.3332,0.00471380928759321
"Error",0,0.01,6,10,0.5161,0.00499765711685644
"Error",0,0.01,6.5,1,0.0592,0.00236010444881173
"Error",0,0.01,6.5,1.5,0.0443,0.00205771096547638
"Error",0,0.01,6.5,2,0.0311,0.00173596669266314
"Error",0,0.01,6.5,2.5,0.0277,0.0016412008877756
